SKU,NOMBRE,@IMAGEN,Publico,Mayoreo,Distribuidor,Caja,PZAS,Categoría,Descuento
KQL-6103,Soporte para cepillo de dientes,kql-6103.jpg,$255.00,$204.00,$180.00,$170.00,16,Salud y Belleza,0%
AZMQ033,Lámpara UV Multifuncional con Clip ,azmq033.jpg,$57.00,$50.00,$46.00,$43.00,100,Salud y Belleza,0%
SE-3006,Plancha para el Cabello,se-3006.jpg,$100.00,$87.00,$77.00,$63.00,60,Salud y Belleza,0%
SE-3007,Plancha para el Cabello,se-3007.jpg,$100.00,$87.00,$77.00,$63.00,60,Salud y Belleza,0%
MR-900,Cinturon Calido Del Palacio,mr-900.jpg,$92.00,$73.00,$65.00,$62.00,100,Salud y Belleza,0%
JSL-5507,Parche Para Masaje,jsl-5507.jpg,$30.00,$22.00,$20.00,$18.00,200,Salud y Belleza,0%
MR-867,Pistola de Fascia,mr-867.jpg,$39.00,$33.00,$31.00,$29.00,200,Salud y Belleza,0%
BH-21192,(BH-21192) Masajeador con Vibración,bh-21192.jpg,$34.00,$27.00,$24.00,$22.00,120,Salud y Belleza,0%
MR-902,Cepillo Masajeador,mr-902.jpg,$92.00,$73.00,$65.00,$61.00,100,Salud y Belleza,0%
BH-2166,Rasuradora Diseño Buda Plastico,bh-2166.jpg,$65.00,$29.00,$27.00,$25.00,100,Salud y Belleza,20%
BH-2136,Rasuradora De Plastico,bh-2136.jpg,$69.00,$29.00,$27.00,$25.00,100,Salud y Belleza,0%
NTN-30303,Rasuradora Vintage,ntn-30303.jpg,$54.00,$42.00,$39.00,$36.00,100.00,Salud y Belleza,0%
NTN-30304,Rasuradora Dorada de Dragon,ntn-30304.jpg,$57.00,$42.00,$39.00,$36.00,100.00,Salud y Belleza,0%
NTN-30306,Rasuradora Vintage de Hombre,ntn-30306.jpg,$57.00,$42.00,$39.00,$36.00,100.00,Salud y Belleza,0%
NTN-30305,Rasuradora Dorada de Buda,ntn-30305.jpg,$57.00,$42.00,$39.00,$36.00,100.00,Salud y Belleza,0%
NTN-30303,Rasuradora Vintage,ntn-30303.jpg,$54.00,$44.00,$41.00,$37.00,100,Salud y Belleza,0%
NTN-30304,Rasuradora Dorada de Dragon,ntn-30304.jpg,$57.00,$46.00,$42.00,$39.00,100,Salud y Belleza,0%
MR-075,Afeitadora Electrica Diseño Buda,mr-075.jpg,$59.00,$43.00,$38.00,$36.00,200.00,Salud y Belleza,0%
SE-3002,Rasuradora Diseño de Buda,se-3002.jpg,$33.00,$28.00,$25.00,$22.00,100,Salud y Belleza,0%
MR-113,Cortadora De Cabello,mr-113.jpg,$83.00,$67.00,$59.00,$56.00,100,Salud y Belleza,0%
MR-115,Cortadora De Cabello,mr-115.jpg,$97.00,$77.00,$68.00,$64.00,100,Salud y Belleza,0%
MR-131P,Afeitadora,mr-131p.jpg,$100.00,$80.00,$71.00,$67.00,100,Salud y Belleza,0%
MR-120,Cortador De Cabello,mr-120.jpg,$108.00,$87.00,$76.00,$72.00,100,Salud y Belleza,0%
MR-128,Rasuradora Electrica,mr-128.jpg,$150.00,$120.00,$106.00,$100.00,60,Salud y Belleza,0%
ZN-1643,SmartWatch Nike S11,zn-1643.jpg,$333.00,$267.00,$235.00,$222.00,100,Renombre,0%
AIRPODS PRO 2 NIKE,Airpods Pro 2da Gen + Llavero Nike ,airpods pro 2 nike.jpg,$125.00,$100.00,$88.00,$83.00,100,Renombre,0%
